site,total_flow_years,no_flow_years
1109070,38,21
1311500,39,30
1379530,32,15
1401650,38,13
1407500,39,21
1613050,39,10
1653600,38,29
1658500,39,12
1660920,34,26
1661050,38,21
2047500,37,26
2077200,39,22
2084160,33,17
2084557,39,18
2096846,30,17
2125000,31,21
2176500,39,27
2216180,35,34
2228500,36,18
2231342,39,34
2231600,39,25
2232200,39,24
2236500,39,20
2236900,39,25
2237293,38,24
2256500,39,24
2263869,35,33
2264000,36,24
2264100,39,12
2266200,38,26
2266205,32,24
2266500,35,12
2291580,31,28
2292900,37,24
2294491,35,31
2297155,38,17
2298202,32,14
2298760,30,19
2300100,39,12
2301750,34,17
2302500,39,10
2303350,39,38
2303400,38,31
2303420,39,31
2303800,39,30
2304500,39,18
2306500,39,11
2307359,39,35
2309848,39,37
2310947,38,23
2311500,35,16
2312200,39,19
2318700,37,30
2321500,39,10
2423130,30,14
2462500,35,26
2462951,34,28
3228300,30,16
3237280,39,25
3238500,32,20
3291780,39,28
3295890,36,11
3303300,39,22
3320500,39,15
3357350,39,26
3364500,39,16
3368000,39,29
3378000,39,31
3378550,39,13
3378635,39,28
3380500,39,16
3384450,39,21
4072150,30,13
4185440,30,15
4199155,30,26
5050000,39,15
5053000,39,12
5054500,39,13
5060500,39,30
5076000,38,13
5090000,39,13
5116500,39,12
5120500,39,13
5123400,39,36
5127000,39,14
5439000,39,12
5454000,39,10
5502000,39,12
5503800,39,29
5507600,39,29
5527800,39,12
5533400,32,18
5536255,39,17
5540195,30,24
5573540,36,11
5577500,39,26
5588000,39,17
5590800,39,17
5591550,38,30
5591700,38,27
5592050,39,12
5592575,30,28
5592900,39,28
5593575,39,17
5593900,39,21
5595730,39,31
5597500,39,32
6108000,39,11
6130500,39,11
6154400,39,30
6177500,34,19
6317000,39,11
6324970,39,17
6332515,39,15
6335500,39,10
6337000,39,12
6339100,39,10
6344600,39,20
6353000,38,20
6354882,32,27
6355500,39,26
6359500,39,18
6360500,38,22
6395000,39,12
6400000,39,36
6400875,35,34
6404000,39,23
6423010,30,27
6425100,38,26
6425500,39,29
6426500,34,12
6436198,35,10
6440200,30,29
6441500,39,31
6445685,31,13
6446000,39,17
6447000,39,20
6449000,39,13
6453600,39,14
6468170,39,22
6468250,33,14
6469400,39,18
6470800,39,22
6470878,37,10
6471000,38,20
6471200,38,29
6473000,39,10
6476000,39,11
6477500,39,19
6709530,34,22
6821500,39,27
6823500,39,33
6827500,39,37
6828500,39,37
6835500,39,10
6844500,39,12
6844900,30,28
6846500,39,38
6847500,39,30
6847900,39,28
6848500,39,30
6860000,39,33
6861000,39,15
6862700,39,25
6862850,37,30
6863500,39,12
6866900,37,24
6871000,39,27
6871500,39,13
6873000,39,24
6879650,39,39
6893080,39,16
6910800,39,16
6911900,39,31
6917000,39,11
6921200,39,20
7075300,32,16
7077380,39,22
7105945,39,11
7116500,39,35
7124410,39,22
7140850,37,35
7141200,39,37
7141780,39,26
7141900,39,28
7142300,39,19
7154500,39,37
7155590,33,33
7157500,38,10
7157950,31,17
7158000,39,32
7165562,30,19
7165565,31,18
7170700,36,29
7172000,39,17
7177650,30,22
7184000,39,21
7206000,39,10
7207500,39,13
7211500,39,11
7221500,39,12
7226500,35,35
7227100,39,28
7227500,39,14
7230500,39,10
7231000,38,10
7232900,30,30
7234000,39,31
7247500,38,14
7249400,39,10
7249985,38,14
7261000,39,25
7261500,34,14
7264000,39,20
7297910,39,17
7300500,39,29
7301500,39,27
7303000,39,26
7311500,39,22
7311800,39,35
7312200,39,10
7314500,39,38
7314900,39,39
7315200,39,37
7315700,39,24
7316500,39,28
7335700,39,30
7336200,39,10
7337900,39,11
7342500,39,11
7343000,39,34
7346045,39,23
7346070,39,16
7351500,35,33
7361500,39,19
7366200,38,13
8017200,39,36
8017300,39,27
8023080,38,36
8023400,35,29
8042800,39,39
8044000,30,23
8047500,39,12
8049700,39,34
8050400,33,11
8050800,33,33
8051500,39,27
8052700,37,35
8053500,39,29
8055500,39,19
8058900,31,26
8063100,38,26
8063800,39,31
8064100,35,19
8064700,38,34
8065800,39,19
8068720,37,36
8068740,39,13
8068780,31,18
8071280,34,14
8072730,37,13
8079600,39,39
8080500,39,26
8082000,39,10
8082500,39,21
8082700,39,39
8083100,39,22
8084000,39,12
8084800,39,12
8085500,39,18
8086212,39,36
8086290,39,38
8091500,39,22
8101000,39,23
8102500,39,14
8103900,39,39
8109700,39,23
8109800,39,16
8110100,39,37
8110325,39,37
8110430,39,36
8121000,39,17
8123800,39,23
8123850,39,24
8124000,39,17
8126380,39,10
8127000,39,35
8128400,33,30
8134000,39,36
8136500,39,20
8143600,39,14
8150800,39,20
8152000,34,28
8153500,39,14
8154700,39,21
8155200,32,12
8155300,39,39
8156800,35,35
8158600,39,17
8158700,39,17
8158810,39,33
8159000,39,35
8160800,39,15
8164300,39,10
8164450,38,29
8164600,39,20
8164800,39,20
8171300,39,21
8172400,39,31
8176900,38,18
8178700,34,33
8181400,38,38
8185000,38,38
8189200,39,39
8190500,39,26
8193000,38,36
8194000,39,38
8194200,38,38
8194500,38,33
8197500,39,39
8200000,39,16
8201500,39,13
8202700,39,39
8205500,35,25
8206600,39,20
8208000,38,16
8247500,39,37
8249000,39,25
8317950,39,39
8329000,30,17
8332010,32,11
8334000,39,39
8353000,37,37
8382500,39,31
8382600,39,24
8382830,38,28
8386000,39,15
8387600,30,18
8390500,39,39
8390800,39,39
8398500,38,38
8400000,38,38
8401200,36,36
8401900,39,39
8405150,39,39
8408500,39,27
9166950,34,34
9224700,39,11
9260000,39,10
9291000,39,29
9328500,39,13
9333500,31,19
9367500,37,13
9371000,39,28
9378170,33,14
9378630,39,33
9379200,39,39
9386030,39,17
9386900,39,17
9386950,39,39
9394500,38,18
9401260,39,39
9423350,38,38
9424900,36,36
9426620,30,20
9430600,39,31
9466500,39,16
9468500,39,20
9480000,34,19
9484000,30,30
9485000,30,30
9498503,30,30
9499000,39,24
9505350,39,39
9508300,39,38
9510200,39,29
9512280,38,38
9512800,39,15
9513780,39,39
9513860,39,39
9517490,32,32
9535100,36,36
9537200,36,18
10256500,39,15
10257550,32,26
10257600,38,27
10257720,32,29
10258000,38,30
10258500,39,38
10259200,39,32
10260950,39,39
10287770,30,30
10311300,33,16
10311400,34,15
10312000,39,13
10324500,39,25
10336676,39,17
10349300,39,12
10352500,38,10
11014000,33,26
11015000,39,36
11025500,39,29
11028500,39,37
11042000,37,16
11042631,30,30
11042800,30,30
11042900,30,30
11043000,39,14
11046000,36,35
11046530,33,33
11051500,39,12
11055500,39,21
11057500,38,23
11059300,39,22
11060400,39,11
11062000,39,29
11063680,39,23
11065000,38,37
11069500,34,31
11070500,39,30
11075720,39,39
11075800,39,36
11077500,38,38
11078000,38,38
11085000,39,39
11087020,39,15
11097000,39,38
11102300,39,31
11118500,39,19
11119500,39,39
11119750,37,37
11119940,39,39
11120000,39,31
11120500,38,15
11123000,39,39
11123500,39,36
11124500,39,37
11128250,33,21
11128500,36,27
11133000,38,29
11136800,39,28
11140000,39,39
11141050,32,18
11143250,39,38
11147500,39,39
11148900,39,39
11149900,39,39
11151300,38,11
11151700,35,18
11152000,39,23
11152300,39,37
11152500,39,28
11152600,35,33
11158600,39,37
11159200,39,32
11162570,30,10
11162630,39,18
11166000,36,12
11176400,39,38
11180500,39,39
11180700,39,24
11180960,39,38
11182500,39,17
11200800,39,28
11216400,31,20
11224500,39,37
11246500,39,13
11253310,39,39
11269700,36,34
11274500,39,39
11274630,39,36
11284400,39,39
11299600,35,35
11335000,39,11
11379500,39,11
11403800,38,22
11451100,39,18
11452500,39,28
11456000,33,14
11458000,39,20
11459500,39,20
11461000,39,24
11480390,38,37
11493500,36,29
12115700,34,28
12513000,34,34
13055340,31,21
13058000,33,33
13068500,38,13
13068501,35,11
13112000,34,34
13132500,37,28
13132520,31,29
13132535,31,30
13152500,39,16
13215000,38,27
13217500,38,16
14015000,39,26
14362250,35,25
208111310,31,23
