gage_ID,EPA_Ecoregion_Name,region
6479438,GREAT PLAINS,North Great Plains
11379500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8198500,GREAT PLAINS,South Great Plains
10352500,NORTH AMERICAN DESERTS,Western Desert
1382500,NORTHERN FORESTS,Eastern Forests
2212600,EASTERN TEMPERATE FORESTS,Eastern Forests
7230500,GREAT PLAINS,South Great Plains
7238000,GREAT PLAINS,South Great Plains
6449000,GREAT PLAINS,North Great Plains
7342500,GREAT PLAINS,South Great Plains
5502000,EASTERN TEMPERATE FORESTS,Eastern Forests
6477000,GREAT PLAINS,North Great Plains
9510000,TEMPERATE SIERRAS,Western Mountains
6108000,GREAT PLAINS,North Great Plains
6479525,GREAT PLAINS,North Great Plains
6426500,GREAT PLAINS,North Great Plains
2300100,EASTERN TEMPERATE FORESTS,Eastern Forests
9366500,NORTH AMERICAN DESERTS,Western Desert
10344500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6919500,GREAT PLAINS,South Great Plains
7337900,EASTERN TEMPERATE FORESTS,Eastern Forests
1174500,NORTHERN FORESTS,Eastern Forests
9224700,NORTH AMERICAN DESERTS,Western Desert
8164300,GREAT PLAINS,South Great Plains
8189700,EASTERN TEMPERATE FORESTS,Eastern Forests
7149000,GREAT PLAINS,South Great Plains
6317000,GREAT PLAINS,North Great Plains
7144795,GREAT PLAINS,South Great Plains
8066200,EASTERN TEMPERATE FORESTS,Eastern Forests
3380500,EASTERN TEMPERATE FORESTS,Eastern Forests
8152900,GREAT PLAINS,South Great Plains
6903400,GREAT PLAINS,South Great Plains
5061500,GREAT PLAINS,North Great Plains
5576000,EASTERN TEMPERATE FORESTS,Eastern Forests
7247500,EASTERN TEMPERATE FORESTS,Eastern Forests
3282500,EASTERN TEMPERATE FORESTS,Eastern Forests
2298830,EASTERN TEMPERATE FORESTS,Eastern Forests
8178880,GREAT PLAINS,South Great Plains
5536255,EASTERN TEMPERATE FORESTS,Eastern Forests
6853800,GREAT PLAINS,South Great Plains
2302500,EASTERN TEMPERATE FORESTS,Eastern Forests
3378550,EASTERN TEMPERATE FORESTS,Eastern Forests
5593575,EASTERN TEMPERATE FORESTS,Eastern Forests
9367500,NORTH AMERICAN DESERTS,Western Desert
6395000,GREAT PLAINS,North Great Plains
2134480,EASTERN TEMPERATE FORESTS,Eastern Forests
2077670,EASTERN TEMPERATE FORESTS,Eastern Forests
6324970,GREAT PLAINS,North Great Plains
5573540,EASTERN TEMPERATE FORESTS,Eastern Forests
11164500,MARINE WEST COAST FOREST,Mediterranean California
6453600,GREAT PLAINS,North Great Plains
3320500,EASTERN TEMPERATE FORESTS,Eastern Forests
7126300,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6917000,GREAT PLAINS,South Great Plains
10312000,NORTH AMERICAN DESERTS,Western Desert
11246500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
7335790,EASTERN TEMPERATE FORESTS,Eastern Forests
5454000,GREAT PLAINS,North Great Plains
7264000,EASTERN TEMPERATE FORESTS,Eastern Forests
7249985,EASTERN TEMPERATE FORESTS,Eastern Forests
2193340,EASTERN TEMPERATE FORESTS,Eastern Forests
8386000,GREAT PLAINS,South Great Plains
7362100,EASTERN TEMPERATE FORESTS,Eastern Forests
2312500,EASTERN TEMPERATE FORESTS,Eastern Forests
1401650,EASTERN TEMPERATE FORESTS,Eastern Forests
8158600,GREAT PLAINS,South Great Plains
6835500,GREAT PLAINS,South Great Plains
8189500,EASTERN TEMPERATE FORESTS,Eastern Forests
5066500,GREAT PLAINS,North Great Plains
7221500,GREAT PLAINS,South Great Plains
9507980,TEMPERATE SIERRAS,Western Mountains
2306500,EASTERN TEMPERATE FORESTS,Eastern Forests
6335500,GREAT PLAINS,North Great Plains
7227500,GREAT PLAINS,South Great Plains
2321500,EASTERN TEMPERATE FORESTS,Eastern Forests
6430800,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
13055340,NORTH AMERICAN DESERTS,Western Desert
11403800,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8050400,GREAT PLAINS,South Great Plains
5085000,GREAT PLAINS,North Great Plains
5533400,EASTERN TEMPERATE FORESTS,Eastern Forests
7336200,EASTERN TEMPERATE FORESTS,Eastern Forests
3228300,EASTERN TEMPERATE FORESTS,Eastern Forests
6873460,GREAT PLAINS,South Great Plains
2298202,EASTERN TEMPERATE FORESTS,Eastern Forests
7157500,GREAT PLAINS,South Great Plains
2301750,EASTERN TEMPERATE FORESTS,Eastern Forests
7075300,EASTERN TEMPERATE FORESTS,Eastern Forests
7169800,GREAT PLAINS,South Great Plains
8082000,GREAT PLAINS,South Great Plains
9328500,NORTH AMERICAN DESERTS,Western Desert
6447000,GREAT PLAINS,North Great Plains
7211500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
13152500,NORTH AMERICAN DESERTS,Western Desert
2297155,EASTERN TEMPERATE FORESTS,Eastern Forests
11335000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
7105945,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11166000,MEDITERRANEAN CALIFORNIA,Mediterranean California
2357000,EASTERN TEMPERATE FORESTS,Eastern Forests
11238600,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11162570,MARINE WEST COAST FOREST,Mediterranean California
2228500,EASTERN TEMPERATE FORESTS,Eastern Forests
13174500,NORTH AMERICAN DESERTS,Western Desert
7077380,EASTERN TEMPERATE FORESTS,Eastern Forests
2306774,EASTERN TEMPERATE FORESTS,Eastern Forests
8150800,GREAT PLAINS,South Great Plains
8084000,GREAT PLAINS,South Great Plains
10336676,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6921200,EASTERN TEMPERATE FORESTS,Eastern Forests
8082500,GREAT PLAINS,South Great Plains
8121000,GREAT PLAINS,South Great Plains
1661050,EASTERN TEMPERATE FORESTS,Eastern Forests
2097464,EASTERN TEMPERATE FORESTS,Eastern Forests
10311400,NORTH AMERICAN DESERTS,Western Desert
6445685,GREAT PLAINS,North Great Plains
10337500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8154700,GREAT PLAINS,South Great Plains
8143600,GREAT PLAINS,South Great Plains
4072150,EASTERN TEMPERATE FORESTS,Eastern Forests
7231000,GREAT PLAINS,South Great Plains
10256500,MEDITERRANEAN CALIFORNIA,Mediterranean California
11088500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8332010,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
7297910,GREAT PLAINS,South Great Plains
10349300,NORTH AMERICAN DESERTS,Western Desert
7103800,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
9333500,NORTH AMERICAN DESERTS,Western Desert
8153500,GREAT PLAINS,South Great Plains
7207500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6359500,GREAT PLAINS,North Great Plains
10287300,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
2423130,EASTERN TEMPERATE FORESTS,Eastern Forests
1378500,EASTERN TEMPERATE FORESTS,Eastern Forests
7261000,EASTERN TEMPERATE FORESTS,Eastern Forests
8160800,EASTERN TEMPERATE FORESTS,Eastern Forests
7361500,EASTERN TEMPERATE FORESTS,Eastern Forests
5588000,EASTERN TEMPERATE FORESTS,Eastern Forests
5054500,GREAT PLAINS,North Great Plains
9466500,TEMPERATE SIERRAS,Western Mountains
6337000,GREAT PLAINS,North Great Plains
4185440,EASTERN TEMPERATE FORESTS,Eastern Forests
1109070,EASTERN TEMPERATE FORESTS,Eastern Forests
1653600,EASTERN TEMPERATE FORESTS,Eastern Forests
3303300,EASTERN TEMPERATE FORESTS,Eastern Forests
8065800,EASTERN TEMPERATE FORESTS,Eastern Forests
6893080,GREAT PLAINS,South Great Plains
8071280,EASTERN TEMPERATE FORESTS,Eastern Forests
11042400,MEDITERRANEAN CALIFORNIA,Mediterranean California
8109800,EASTERN TEMPERATE FORESTS,Eastern Forests
6470878,GREAT PLAINS,North Great Plains
7366200,EASTERN TEMPERATE FORESTS,Eastern Forests
7261500,EASTERN TEMPERATE FORESTS,Eastern Forests
3364500,EASTERN TEMPERATE FORESTS,Eastern Forests
8208000,EASTERN TEMPERATE FORESTS,Eastern Forests
6339100,GREAT PLAINS,North Great Plains
3384450,EASTERN TEMPERATE FORESTS,Eastern Forests
7206000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
5577500,EASTERN TEMPERATE FORESTS,Eastern Forests
11459500,MEDITERRANEAN CALIFORNIA,Mediterranean California
9394500,NORTH AMERICAN DESERTS,Western Desert
5540195,EASTERN TEMPERATE FORESTS,Eastern Forests
8329000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
5590800,EASTERN TEMPERATE FORESTS,Eastern Forests
2084160,EASTERN TEMPERATE FORESTS,Eastern Forests
7346070,EASTERN TEMPERATE FORESTS,Eastern Forests
6130500,GREAT PLAINS,North Great Plains
9480000,SOUTHERN SEMIARID HIGHLANDS,Western Desert
3378000,EASTERN TEMPERATE FORESTS,Eastern Forests
11043000,MEDITERRANEAN CALIFORNIA,Mediterranean California
11451100,MEDITERRANEAN CALIFORNIA,Mediterranean California
11109600,MEDITERRANEAN CALIFORNIA,Mediterranean California
5120500,GREAT PLAINS,North Great Plains
8126380,GREAT PLAINS,South Great Plains
6407500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
7167500,GREAT PLAINS,South Great Plains
5593900,EASTERN TEMPERATE FORESTS,Eastern Forests
8063100,GREAT PLAINS,South Great Plains
2084557,EASTERN TEMPERATE FORESTS,Eastern Forests
3378635,EASTERN TEMPERATE FORESTS,Eastern Forests
2462951,EASTERN TEMPERATE FORESTS,Eastern Forests
6332515,GREAT PLAINS,North Great Plains
2077200,EASTERN TEMPERATE FORESTS,Eastern Forests
8084800,GREAT PLAINS,South Great Plains
3238500,EASTERN TEMPERATE FORESTS,Eastern Forests
6475000,GREAT PLAINS,North Great Plains
13217500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
3237280,EASTERN TEMPERATE FORESTS,Eastern Forests
2266500,EASTERN TEMPERATE FORESTS,Eastern Forests
2232200,EASTERN TEMPERATE FORESTS,Eastern Forests
7124410,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6446000,GREAT PLAINS,North Great Plains
11060400,MEDITERRANEAN CALIFORNIA,Mediterranean California
6844500,GREAT PLAINS,South Great Plains
10311300,NORTH AMERICAN DESERTS,Western Desert
6473000,GREAT PLAINS,North Great Plains
5116500,GREAT PLAINS,North Great Plains
7172000,GREAT PLAINS,South Great Plains
8091500,GREAT PLAINS,South Great Plains
6910800,GREAT PLAINS,South Great Plains
7157950,GREAT PLAINS,South Great Plains
6177500,GREAT PLAINS,North Great Plains
2096846,EASTERN TEMPERATE FORESTS,Eastern Forests
8155200,GREAT PLAINS,South Great Plains
2462500,EASTERN TEMPERATE FORESTS,Eastern Forests
6871500,GREAT PLAINS,South Great Plains
7165565,GREAT PLAINS,South Great Plains
2125000,EASTERN TEMPERATE FORESTS,Eastern Forests
8198000,GREAT PLAINS,South Great Plains
8200000,GREAT PLAINS,South Great Plains
6477500,GREAT PLAINS,North Great Plains
8164450,GREAT PLAINS,South Great Plains
5090000,GREAT PLAINS,North Great Plains
5076000,GREAT PLAINS,North Great Plains
7346045,EASTERN TEMPERATE FORESTS,Eastern Forests
8064100,GREAT PLAINS,South Great Plains
6406500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
1379530,EASTERN TEMPERATE FORESTS,Eastern Forests
11461000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
2298760,EASTERN TEMPERATE FORESTS,Eastern Forests
1660920,EASTERN TEMPERATE FORESTS,Eastern Forests
10333000,NORTH AMERICAN DESERTS,Western Desert
6344600,GREAT PLAINS,North Great Plains
11162630,MARINE WEST COAST FOREST,Mediterranean California
8206600,GREAT PLAINS,South Great Plains
8085500,GREAT PLAINS,South Great Plains
7177650,GREAT PLAINS,South Great Plains
8164800,GREAT PLAINS,South Great Plains
6404000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11141050,MEDITERRANEAN CALIFORNIA,Mediterranean California
208111310,EASTERN TEMPERATE FORESTS,Eastern Forests
11087020,MEDITERRANEAN CALIFORNIA,Mediterranean California
5592900,EASTERN TEMPERATE FORESTS,Eastern Forests
7165562,GREAT PLAINS,South Great Plains
7227100,GREAT PLAINS,South Great Plains
4199155,EASTERN TEMPERATE FORESTS,Eastern Forests
11120500,MEDITERRANEAN CALIFORNIA,Mediterranean California
9512800,TEMPERATE SIERRAS,Western Mountains
3291780,EASTERN TEMPERATE FORESTS,Eastern Forests
6863500,GREAT PLAINS,South Great Plains
9430600,TEMPERATE SIERRAS,Western Mountains
6476000,GREAT PLAINS,North Great Plains
11182500,MEDITERRANEAN CALIFORNIA,Mediterranean California
2231600,EASTERN TEMPERATE FORESTS,Eastern Forests
7324200,GREAT PLAINS,South Great Plains
6353000,GREAT PLAINS,North Great Plains
11151300,MEDITERRANEAN CALIFORNIA,Mediterranean California
6478690,GREAT PLAINS,North Great Plains
12115700,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6709530,GREAT PLAINS,South Great Plains
2256500,EASTERN TEMPERATE FORESTS,Eastern Forests
11051500,MEDITERRANEAN CALIFORNIA,Mediterranean California
9499000,TEMPERATE SIERRAS,Western Mountains
5507600,GREAT PLAINS,South Great Plains
8068780,GREAT PLAINS,South Great Plains
7184000,GREAT PLAINS,South Great Plains
3368000,EASTERN TEMPERATE FORESTS,Eastern Forests
8123850,GREAT PLAINS,South Great Plains
14362250,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
5050000,GREAT PLAINS,North Great Plains
11458000,MEDITERRANEAN CALIFORNIA,Mediterranean California
7158000,GREAT PLAINS,South Great Plains
5597500,EASTERN TEMPERATE FORESTS,Eastern Forests
9371000,NORTH AMERICAN DESERTS,Western Desert
8136500,GREAT PLAINS,South Great Plains
8249000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
2312600,EASTERN TEMPERATE FORESTS,Eastern Forests
8247500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
2311500,EASTERN TEMPERATE FORESTS,Eastern Forests
10324500,NORTH AMERICAN DESERTS,Western Desert
8080500,GREAT PLAINS,South Great Plains
5053000,GREAT PLAINS,North Great Plains
2231342,EASTERN TEMPERATE FORESTS,Eastern Forests
