gage_ID,EPA_Ecoregion_Name,region
8124000,GREAT PLAINS,South Great Plains
8158700,GREAT PLAINS,South Great Plains
11456000,MEDITERRANEAN CALIFORNIA,Mediterranean California
11200800,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
5595730,EASTERN TEMPERATE FORESTS,Eastern Forests
5591700,EASTERN TEMPERATE FORESTS,Eastern Forests
11070500,MEDITERRANEAN CALIFORNIA,Mediterranean California
9378170,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
3357350,EASTERN TEMPERATE FORESTS,Eastern Forests
7335700,EASTERN TEMPERATE FORESTS,Eastern Forests
6861000,GREAT PLAINS,South Great Plains
2047500,EASTERN TEMPERATE FORESTS,Eastern Forests
6471000,GREAT PLAINS,North Great Plains
7343000,GREAT PLAINS,South Great Plains
11055500,MEDITERRANEAN CALIFORNIA,Mediterranean California
7315700,GREAT PLAINS,South Great Plains
8164600,GREAT PLAINS,South Great Plains
6823500,GREAT PLAINS,South Great Plains
11152000,MEDITERRANEAN CALIFORNIA,Mediterranean California
6468170,GREAT PLAINS,North Great Plains
8201500,GREAT PLAINS,South Great Plains
2292900,EASTERN TEMPERATE FORESTS,Eastern Forests
8176900,EASTERN TEMPERATE FORESTS,Eastern Forests
2176500,EASTERN TEMPERATE FORESTS,Eastern Forests
7311500,GREAT PLAINS,South Great Plains
2313230,EASTERN TEMPERATE FORESTS,Eastern Forests
9386900,TEMPERATE SIERRAS,Western Mountains
5591550,EASTERN TEMPERATE FORESTS,Eastern Forests
8101000,GREAT PLAINS,South Great Plains
2312200,EASTERN TEMPERATE FORESTS,Eastern Forests
8408500,NORTH AMERICAN DESERTS,Western Desert
8109700,EASTERN TEMPERATE FORESTS,Eastern Forests
6468250,GREAT PLAINS,North Great Plains
5503800,GREAT PLAINS,South Great Plains
14015000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6469400,GREAT PLAINS,North Great Plains
8152000,GREAT PLAINS,South Great Plains
7142300,GREAT PLAINS,South Great Plains
8049700,GREAT PLAINS,South Great Plains
2310947,EASTERN TEMPERATE FORESTS,Eastern Forests
7301500,GREAT PLAINS,South Great Plains
13215000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8023400,EASTERN TEMPERATE FORESTS,Eastern Forests
11269700,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6873000,GREAT PLAINS,South Great Plains
8051500,GREAT PLAINS,South Great Plains
7351500,EASTERN TEMPERATE FORESTS,Eastern Forests
6911900,GREAT PLAINS,South Great Plains
6862700,GREAT PLAINS,South Great Plains
11118500,MEDITERRANEAN CALIFORNIA,Mediterranean California
2307359,EASTERN TEMPERATE FORESTS,Eastern Forests
2303800,EASTERN TEMPERATE FORESTS,Eastern Forests
6154400,GREAT PLAINS,North Great Plains
7316500,GREAT PLAINS,South Great Plains
2236500,EASTERN TEMPERATE FORESTS,Eastern Forests
6360500,GREAT PLAINS,North Great Plains
8382830,GREAT PLAINS,South Great Plains
5592575,EASTERN TEMPERATE FORESTS,Eastern Forests
1407500,EASTERN TEMPERATE FORESTS,Eastern Forests
8058900,GREAT PLAINS,South Great Plains
2303420,EASTERN TEMPERATE FORESTS,Eastern Forests
2318700,EASTERN TEMPERATE FORESTS,Eastern Forests
8064700,GREAT PLAINS,South Great Plains
7300500,GREAT PLAINS,South Great Plains
8017300,GREAT PLAINS,South Great Plains
11057500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8023080,EASTERN TEMPERATE FORESTS,Eastern Forests
8110100,EASTERN TEMPERATE FORESTS,Eastern Forests
8017200,GREAT PLAINS,South Great Plains
11480390,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8063800,GREAT PLAINS,South Great Plains
8387600,TEMPERATE SIERRAS,Western Mountains
8158810,GREAT PLAINS,South Great Plains
8159000,GREAT PLAINS,South Great Plains
2304500,EASTERN TEMPERATE FORESTS,Eastern Forests
8171300,GREAT PLAINS,South Great Plains
6847900,GREAT PLAINS,South Great Plains
9379200,NORTH AMERICAN DESERTS,Western Desert
6355500,GREAT PLAINS,North Great Plains
11063680,MEDITERRANEAN CALIFORNIA,Mediterranean California
8052700,GREAT PLAINS,South Great Plains
2237293,EASTERN TEMPERATE FORESTS,Eastern Forests
11102300,MEDITERRANEAN CALIFORNIA,Mediterranean California
2264000,EASTERN TEMPERATE FORESTS,Eastern Forests
6470800,GREAT PLAINS,North Great Plains
8053500,GREAT PLAINS,South Great Plains
10257550,MEDITERRANEAN CALIFORNIA,Mediterranean California
7303000,GREAT PLAINS,South Great Plains
9537200,SOUTHERN SEMIARID HIGHLANDS,Western Desert
11042000,MEDITERRANEAN CALIFORNIA,Mediterranean California
7311800,GREAT PLAINS,South Great Plains
11120000,MEDITERRANEAN CALIFORNIA,Mediterranean California
9510200,TEMPERATE SIERRAS,Western Mountains
8190500,GREAT PLAINS,South Great Plains
9468500,SOUTHERN SEMIARID HIGHLANDS,Western Desert
6828500,GREAT PLAINS,South Great Plains
8068720,GREAT PLAINS,South Great Plains
9401260,NORTH AMERICAN DESERTS,Western Desert
7170700,GREAT PLAINS,South Great Plains
11059300,MEDITERRANEAN CALIFORNIA,Mediterranean California
7314500,GREAT PLAINS,South Great Plains
7116500,GREAT PLAINS,South Great Plains
11151700,MEDITERRANEAN CALIFORNIA,Mediterranean California
6866900,GREAT PLAINS,South Great Plains
8194500,GREAT PLAINS,South Great Plains
2266200,EASTERN TEMPERATE FORESTS,Eastern Forests
8110430,EASTERN TEMPERATE FORESTS,Eastern Forests
11180700,MEDITERRANEAN CALIFORNIA,Mediterranean California
5060500,GREAT PLAINS,North Great Plains
6354882,GREAT PLAINS,North Great Plains
8044000,GREAT PLAINS,South Great Plains
10258000,MEDITERRANEAN CALIFORNIA,Mediterranean California
8382500,GREAT PLAINS,South Great Plains
7234000,GREAT PLAINS,South Great Plains
9508300,TEMPERATE SIERRAS,Western Mountains
6821500,GREAT PLAINS,South Great Plains
11046000,MEDITERRANEAN CALIFORNIA,Mediterranean California
2303350,EASTERN TEMPERATE FORESTS,Eastern Forests
8123800,GREAT PLAINS,South Great Plains
6400000,GREAT PLAINS,North Great Plains
6871000,GREAT PLAINS,South Great Plains
11069500,MEDITERRANEAN CALIFORNIA,Mediterranean California
1311500,EASTERN TEMPERATE FORESTS,Eastern Forests
8083100,GREAT PLAINS,South Great Plains
10257600,MEDITERRANEAN CALIFORNIA,Mediterranean California
11133000,MEDITERRANEAN CALIFORNIA,Mediterranean California
6441500,GREAT PLAINS,North Great Plains
11452500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8110325,GREAT PLAINS,South Great Plains
6860000,GREAT PLAINS,South Great Plains
9166950,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11062000,MEDITERRANEAN CALIFORNIA,Mediterranean California
11159200,MARINE WEST COAST FOREST,Mediterranean California
9498503,TEMPERATE SIERRAS,Western Mountains
8127000,GREAT PLAINS,South Great Plains
9426620,NORTH AMERICAN DESERTS,Western Desert
8172400,GREAT PLAINS,South Great Plains
9386030,TEMPERATE SIERRAS,Western Mountains
8382600,GREAT PLAINS,South Great Plains
11128500,MEDITERRANEAN CALIFORNIA,Mediterranean California
11216400,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11025500,MEDITERRANEAN CALIFORNIA,Mediterranean California
2291580,EASTERN TEMPERATE FORESTS,Eastern Forests
11152300,MEDITERRANEAN CALIFORNIA,Mediterranean California
11136800,MEDITERRANEAN CALIFORNIA,Mediterranean California
11124500,MEDITERRANEAN CALIFORNIA,Mediterranean California
11180960,MEDITERRANEAN CALIFORNIA,Mediterranean California
7141780,GREAT PLAINS,South Great Plains
11015000,MEDITERRANEAN CALIFORNIA,Mediterranean California
9291000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8042800,GREAT PLAINS,South Great Plains
2216180,EASTERN TEMPERATE FORESTS,Eastern Forests
8205500,GREAT PLAINS,South Great Plains
2294491,EASTERN TEMPERATE FORESTS,Eastern Forests
8086212,GREAT PLAINS,South Great Plains
6471200,GREAT PLAINS,North Great Plains
9484000,SOUTHERN SEMIARID HIGHLANDS,Western Desert
11148900,MEDITERRANEAN CALIFORNIA,Mediterranean California
11028500,MEDITERRANEAN CALIFORNIA,Mediterranean California
10257720,MEDITERRANEAN CALIFORNIA,Mediterranean California
6440200,GREAT PLAINS,North Great Plains
11284400,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
7154500,GREAT PLAINS,South Great Plains
11152500,MEDITERRANEAN CALIFORNIA,Mediterranean California
2309848,EASTERN TEMPERATE FORESTS,Eastern Forests
7315200,GREAT PLAINS,South Great Plains
11014000,MEDITERRANEAN CALIFORNIA,Mediterranean California
9378630,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
6425100,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8086290,GREAT PLAINS,South Great Plains
8178700,GREAT PLAINS,South Great Plains
6847500,GREAT PLAINS,South Great Plains
6862850,GREAT PLAINS,South Great Plains
11176400,MEDITERRANEAN CALIFORNIA,Mediterranean California
8134000,GREAT PLAINS,South Great Plains
6425500,GREAT PLAINS,North Great Plains
2236900,EASTERN TEMPERATE FORESTS,Eastern Forests
6827500,GREAT PLAINS,South Great Plains
8103900,GREAT PLAINS,South Great Plains
11299600,MEDITERRANEAN CALIFORNIA,Mediterranean California
7141900,GREAT PLAINS,South Great Plains
10259200,MEDITERRANEAN CALIFORNIA,Mediterranean California
12513000,NORTH AMERICAN DESERTS,Western Desert
8194000,GREAT PLAINS,South Great Plains
2303400,EASTERN TEMPERATE FORESTS,Eastern Forests
6848500,GREAT PLAINS,South Great Plains
11143250,MEDITERRANEAN CALIFORNIA,Mediterranean California
8353000,NORTH AMERICAN DESERTS,Western Desert
11274630,MEDITERRANEAN CALIFORNIA,Mediterranean California
5123400,GREAT PLAINS,North Great Plains
11123500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8193000,GREAT PLAINS,South Great Plains
11149900,MEDITERRANEAN CALIFORNIA,Mediterranean California
11493500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11075800,MEDITERRANEAN CALIFORNIA,Mediterranean California
11128250,MEDITERRANEAN CALIFORNIA,Mediterranean California
11046530,MEDITERRANEAN CALIFORNIA,Mediterranean California
6400875,GREAT PLAINS,North Great Plains
8050800,GREAT PLAINS,South Great Plains
13058000,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
8156800,GREAT PLAINS,South Great Plains
8128400,GREAT PLAINS,South Great Plains
9386950,NORTH AMERICAN DESERTS,Western Desert
8334000,NORTH AMERICAN DESERTS,Western Desert
8079600,GREAT PLAINS,South Great Plains
11253310,MEDITERRANEAN CALIFORNIA,Mediterranean California
6844900,GREAT PLAINS,South Great Plains
11158600,MEDITERRANEAN CALIFORNIA,Mediterranean California
11224500,MEDITERRANEAN CALIFORNIA,Mediterranean California
6879650,GREAT PLAINS,South Great Plains
9512280,TEMPERATE SIERRAS,Western Mountains
11147500,MEDITERRANEAN CALIFORNIA,Mediterranean California
10260950,MEDITERRANEAN CALIFORNIA,Mediterranean California
9485000,SOUTHERN SEMIARID HIGHLANDS,Western Desert
2266205,EASTERN TEMPERATE FORESTS,Eastern Forests
13132500,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
10258500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8194200,GREAT PLAINS,South Great Plains
11180500,MEDITERRANEAN CALIFORNIA,Mediterranean California
11097000,MEDITERRANEAN CALIFORNIA,Mediterranean California
8189200,GREAT PLAINS,South Great Plains
8155300,GREAT PLAINS,South Great Plains
9513780,TEMPERATE SIERRAS,Western Mountains
11152600,MEDITERRANEAN CALIFORNIA,Mediterranean California
8317950,NORTH AMERICAN DESERTS,Western Desert
11123000,MEDITERRANEAN CALIFORNIA,Mediterranean California
8390500,TEMPERATE SIERRAS,Western Mountains
7141200,GREAT PLAINS,South Great Plains
13112000,NORTH AMERICAN DESERTS,Western Desert
7314900,GREAT PLAINS,South Great Plains
11119500,MEDITERRANEAN CALIFORNIA,Mediterranean California
8390800,TEMPERATE SIERRAS,Western Mountains
9505350,TEMPERATE SIERRAS,Western Mountains
11119940,MEDITERRANEAN CALIFORNIA,Mediterranean California
11078000,MEDITERRANEAN CALIFORNIA,Mediterranean California
8082700,GREAT PLAINS,South Great Plains
11065000,MEDITERRANEAN CALIFORNIA,Mediterranean California
9424900,NORTH AMERICAN DESERTS,Western Desert
11274500,MEDITERRANEAN CALIFORNIA,Mediterranean California
13132520,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11042800,MEDITERRANEAN CALIFORNIA,Mediterranean California
7140850,GREAT PLAINS,South Great Plains
11075720,MEDITERRANEAN CALIFORNIA,Mediterranean California
7226500,GREAT PLAINS,South Great Plains
11140000,MEDITERRANEAN CALIFORNIA,Mediterranean California
6423010,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
2263869,EASTERN TEMPERATE FORESTS,Eastern Forests
11119750,MEDITERRANEAN CALIFORNIA,Mediterranean California
8181400,GREAT PLAINS,South Great Plains
13132535,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
11085000,MEDITERRANEAN CALIFORNIA,Mediterranean California
6846500,GREAT PLAINS,South Great Plains
7155590,GREAT PLAINS,South Great Plains
10287770,NORTHWESTERN FORESTED MOUNTAINS,Western Mountains
9423350,NORTH AMERICAN DESERTS,Western Desert
8197500,GREAT PLAINS,South Great Plains
11042900,MEDITERRANEAN CALIFORNIA,Mediterranean California
9535100,NORTH AMERICAN DESERTS,Western Desert
11042631,MEDITERRANEAN CALIFORNIA,Mediterranean California
8185000,GREAT PLAINS,South Great Plains
11077500,MEDITERRANEAN CALIFORNIA,Mediterranean California
9517490,NORTH AMERICAN DESERTS,Western Desert
8202700,GREAT PLAINS,South Great Plains
8398500,TEMPERATE SIERRAS,Western Mountains
8401200,NORTH AMERICAN DESERTS,Western Desert
9513860,NORTH AMERICAN DESERTS,Western Desert
8400000,NORTH AMERICAN DESERTS,Western Desert
8401900,NORTH AMERICAN DESERTS,Western Desert
